# Chunk-averaged data for fix 55 and group vx
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number vx temp
5000 30 144000
25000 30 144000
  1 -5 290 0.00554067 0 0
  2 5 4830 0.0922808 0 0
  3 15 5121.24 0.0978452 0.00751784 412.831
  4 25 5118.76 0.0977978 0.0074217 479.945
  5 35 5118.3 0.097789 0.00684588 498.125
  6 45 5015.32 0.0958215 0.00681716 515.614
  7 55 4869.58 0.093037 0.00587104 528.481
  8 65 4919.84 0.0939973 -0.00879329 547.675
  9 75 5041.5 0.0963217 -0.000446997 574.387
  10 85 5115.46 0.0977347 -0.000779919 607.642
  11 95 5120 0.0978215 0.00369439 655.847
  12 105 5120 0.0978215 -0.0039573 722.108
  13 115 5120 0.0978215 2.73685e-05 806.566
  14 125 5120 0.0978215 0.00232237 922.867
  15 135 5120 0.0978215 -0.00126057 1078.76
  16 145 5115.12 0.0977282 0.0152979 1270.47
  17 155 4907.56 0.0937627 -0.0220623 1500.53
  18 165 4898.64 0.0935922 -0.0145352 1765.02
  19 175 4729.8 0.0903664 -0.00386227 2031.39
  20 185 4840.16 0.0924749 -0.00808951 2305.15
  21 195 4977.04 0.0950901 -0.00386134 2539.93
  22 205 5091.1 0.0972693 0.00505413 2737.89
  23 215 4822.56 0.0921387 -0.0155338 2849.52
  24 225 4716.76 0.0901173 -0.00681591 2870.83
  25 235 4782.86 0.0913802 0.00532836 2797.04
  26 245 4911.38 0.0938356 -0.00855387 2652.26
  27 255 5086.78 0.0971868 -0.000336 2513.68
  28 265 5048.92 0.0964634 0.00857833 2388.41
  29 275 4956.04 0.0946889 -0.00730073 2271.72
  30 285 4075.28 0.0778613 0.00137999 2212.13
30000 30 144000
  1 -5 290 0.00554067 0 0
  2 5 4830 0.0922808 0 0
  3 15 5120.86 0.0978379 -0.0041914 409.481
  4 25 5119.14 0.0978051 -0.00246056 481.248
  5 35 5117 0.0977642 0.00256071 518.286
  6 45 4913.92 0.0938842 0.00296343 548.44
  7 55 4833.54 0.0923484 0.00722809 580.411
  8 65 5014.88 0.0958131 0.0143152 609.524
  9 75 5081.72 0.0970901 0.00853511 651.301
  10 85 5118.94 0.0978012 0.0105299 699.533
  11 95 5120 0.0978215 -0.00934109 763.206
  12 105 5120 0.0978215 -0.00879392 845.33
  13 115 5120 0.0978215 -0.0117138 944.853
  14 125 5120 0.0978215 0.00985407 1065.78
  15 135 5118 0.0977833 -0.0101158 1210.94
  16 145 4853.68 0.0927332 0.00731033 1378.93
  17 155 4921.34 0.0940259 -0.00737323 1563.57
  18 165 4812.38 0.0919442 0.00354332 1760.94
  19 175 4801.2 0.0917306 0.00326946 1950.9
  20 185 4972.22 0.094998 0.00184009 2130.31
  21 195 5086.7 0.0971853 -0.000143505 2288.92
  22 205 5105.8 0.0975502 -0.00851718 2425.14
  23 215 4711.38 0.0900145 0.019039 2542.31
  24 225 4711.84 0.0900233 -0.000725557 2600.11
  25 235 4773.68 0.0912048 -0.000594994 2582.03
  26 245 5014.7 0.0958096 -0.000948911 2574.78
  27 255 5117.08 0.0977657 -0.00225882 2534.03
  28 265 5088.24 0.0972147 -0.004426 2488.92
  29 275 4833.28 0.0923435 -0.0151111 2434.29
  30 285 4158.44 0.0794501 -0.0014505 2423.7
35000 30 144000
  1 -5 290 0.00554067 0 0
  2 5 4830 0.0922808 0 0
  3 15 5121.74 0.0978547 -0.00473734 404.989
  4 25 5118.26 0.0977882 -0.00231212 483.288
  5 35 5119.68 0.0978154 -0.00992613 534.226
  6 45 5077.28 0.0970053 -0.0122145 576.649
  7 55 4888.22 0.0933931 -0.0116446 622.485
  8 65 4816.86 0.0920298 -0.0181131 669.379
  9 75 5058.74 0.0966511 -0.00866401 716.719
  10 85 5119.22 0.0978066 -0.00390901 785.315
  11 95 5120 0.0978215 -0.000482748 856.612
  12 105 5120 0.0978215 0.00170605 944.44
  13 115 5120 0.0978215 0.00326403 1046.16
  14 125 5120 0.0978215 0.0143032 1162.06
  15 135 5117.66 0.0977768 0.0102448 1297.78
  16 145 5048.58 0.0964569 0.015252 1433.44
  17 155 4914.1 0.0938876 -0.00527392 1595.13
  18 165 4749.64 0.0907455 0.0133539 1738.88
  19 175 4893.44 0.0934929 0.0042667 1881.49
  20 185 4793.36 0.0915808 0.0167375 2021.97
  21 195 5053.08 0.0965429 -0.00600688 2148.03
  22 205 5106.76 0.0975685 0.00466747 2277.54
  23 215 4987.96 0.0952988 -0.00698564 2379.48
  24 225 4750.82 0.090768 -0.0271665 2456.38
  25 235 4738.28 0.0905284 0.0111814 2501.6
  26 245 4793.7 0.0915873 -0.0159414 2505.88
  27 255 5052.66 0.0965349 0.00951796 2507.37
  28 265 5119.96 0.0978207 -0.00895002 2503.76
  29 275 5095.78 0.0973587 -0.00121202 2488.82
  30 285 3864.16 0.0738277 -0.0128637 2480.93
40000 30 143999
  1 -5 290 0.00554067 0 0
  2 5 4830 0.0922808 0 0
  3 15 5121 0.0978406 0.00684568 401.872
  4 25 5119 0.0978024 -0.00173266 483.55
  5 35 5116.9 0.0977623 0.00505329 548.146
  6 45 4915.94 0.0939228 0.00775389 604.538
  7 55 4846.74 0.0926006 0.00768762 650.089
  8 65 4978.04 0.0951092 0.00373478 701.75
  9 75 5102.48 0.0974867 0.00195717 767.417
  10 85 5119.9 0.0978196 0.00643997 841.04
  11 95 5120 0.0978215 -0.00653397 920.449
  12 105 5120 0.0978215 -0.0123251 1008.41
  13 115 5120 0.0978215 -0.01671 1101.28
  14 125 5120 0.0978215 -0.00828445 1209.99
  15 135 5054.56 0.0965712 -0.0206134 1326.53
  16 145 4802.08 0.0917474 -0.000458673 1454.77
  17 155 4949.44 0.0945628 -0.000584291 1572.66
  18 165 4718.2 0.0901448 0.00229405 1700.43
  19 175 4942.22 0.0944249 -0.00576208 1832.26
  20 185 4989.88 0.0953354 0.0100864 1952.13
  21 195 5104.76 0.0975303 -0.0035719 2057.19
  22 205 5104.54 0.0975261 0.00910169 2168.51
  23 215 4738.68 0.0905361 0.0147694 2266.09
  24 225 4755.12 0.0908502 0.00535822 2346.68
  25 235 4795.96 0.0916305 0.0177521 2400.1
  26 245 4960.24 0.0947691 -0.00168202 2439.84
  27 255 5084.36 0.0971406 -0.00583342 2467.19
  28 265 5104.96 0.0975341 0.00417396 2482.37
  29 275 4866.34 0.0929751 0.00775924 2487.57
  30 285 4108.12 0.0784887 -0.00943009 2496.63
45000 30 143999
  1 -5 290 0.00554067 0 0
  2 5 4830 0.0922808 0 0
  3 15 5121.16 0.0978436 0.00272614 399.294
  4 25 5118.84 0.0977993 0.00279331 485.024
  5 35 5116.82 0.0977607 0.00378976 558.686
  6 45 4921.96 0.0940378 0.0034349 622.247
  7 55 4845.9 0.0925846 -0.00394266 677.983
  8 65 4971.26 0.0949797 -0.0050949 734.105
  9 75 5104.2 0.0975196 0.00546456 803.602
  10 85 5119.86 0.0978188 0.0105084 875.534
  11 95 5120 0.0978215 0.0167071 952.658
  12 105 5120 0.0978215 0.00785817 1045.08
  13 115 5120 0.0978215 0.00253969 1145.48
  14 125 5119.84 0.0978184 0.0132503 1238.32
  15 135 4965.82 0.0948758 -0.00863243 1355.67
  16 145 4900.28 0.0936236 -0.0159107 1475.39
  17 155 4905.42 0.0937218 0.00942042 1577.28
  18 165 4739.62 0.090554 -0.020355 1696.35
  19 175 4966.76 0.0948937 0.0165582 1789.41
  20 185 4982.6 0.0951964 -0.0215356 1890.61
  21 195 5102.08 0.0974791 -0.023824 1988.24
  22 205 5100.62 0.0974512 -0.0113125 2092.63
  23 215 4759.22 0.0909285 0.001246 2189.58
  24 225 4772.98 0.0911914 -0.00452951 2280.21
  25 235 4788.48 0.0914875 -0.00235202 2330.32
  26 245 4941.38 0.0944088 0.00745823 2386.2
  27 255 5074.92 0.0969602 -0.00499153 2418.9
  28 265 5114.08 0.0977084 0.0224767 2431.36
  29 275 4905.68 0.0937267 -0.00160993 2464.31
  30 285 4059.7 0.0775636 0.0211687 2470.47
50000 30 144000
  1 -5 290 0.00554067 0 0
  2 5 4830 0.0922808 0 0
  3 15 5121.68 0.0978536 0.000920765 400.14
  4 25 5118.32 0.0977894 -0.000206856 482.431
  5 35 5119.2 0.0978062 -0.00297703 563.013
  6 45 5050.02 0.0964845 -0.0064477 635.806
  7 55 4846.26 0.0925915 -0.00879177 697.854
  8 65 4849.54 0.0926541 0.000862979 754.178
  9 75 5095 0.0973438 -0.000174126 825.003
  10 85 5119.98 0.0978211 0.00312288 898.325
  11 95 5120 0.0978215 -0.00449061 986.966
  12 105 5120 0.0978215 -0.00778158 1072.69
  13 115 5120 0.0978215 -0.00840231 1166.85
  14 125 5120 0.0978215 0.0167003 1261.33
  15 135 5098.2 0.097405 -0.00876833 1365.23
  16 145 4975.18 0.0950546 0.00684836 1476.9
  17 155 4782.58 0.0913748 0.0059323 1577.59
  18 165 4876.34 0.0931662 -0.00193701 1680.87
  19 175 4839.06 0.0924539 0.00533523 1784.36
  20 185 4891.28 0.0934516 0.00257989 1869.36
  21 195 5098.98 0.0974199 0.0217275 1967.26
  22 205 5111.2 0.0976534 -0.0073714 2057.65
  23 215 4972.6 0.0950053 0.0161937 2165.08
  24 225 4771.34 0.0911601 0.00236427 2228.21
  25 235 4762.18 0.0909851 -0.00377539 2289.6
  26 245 4795.58 0.0916232 0.00419885 2332.36
  27 255 5025.66 0.096019 0.00135674 2363.57
  28 265 5119.82 0.097818 -0.00778176 2394.13
  29 275 5101.74 0.0974726 -0.000554051 2398.9
  30 285 3858.24 0.0737146 -0.00664284 2405.94
